codigo_cliente,count(codigo_pedido),idade,pedidos
3bfcd49a281054bbf95c03b31fb5e5ef,3,19,"[Row(pedidos='a071669a5000ce07ad709886c8109906', data=datetime.date(2018, 11, 23)), Row(pedidos='ca2360f9f20482f1f0d851a15ae67498', data=datetime.date(2018, 11, 23)), Row(pedidos='cb422c641730320669dc49b88c069a00', data=datetime.date(2018, 11, 23))]"
18d6c857acbfb21b50633ebf0fb59bb3,4,29,"[Row(pedidos='aede83e21d3683a716106a85d208ded9', data=datetime.date(2018, 11, 23)), Row(pedidos='fa32e1d7d905159afec553b506dc4394', data=datetime.date(2018, 11, 23)), Row(pedidos='3a6abfc49a47d5d30d06747b5e781681', data=datetime.date(2018, 11, 23)), Row(pedidos='b9f4d17e40a03154ada5c1ed1a1d87f4', data=datetime.date(2017, 11, 11))]"
3860f681456fae15d9b562d948a89028,3,19,"[Row(pedidos='66c1ea9f1aa3b2544d5e9ba911c0f790', data=datetime.date(2018, 11, 23)), Row(pedidos='4cc754634d81b8dcfb51a7f7ae949d19', data=datetime.date(2018, 11, 23)), Row(pedidos='41248accd291f46a50b0cdba30adf7c9', data=datetime.date(2018, 11, 23))]"
a3c3bc3ebac103447d4c30a5027ee96a,3,9,"[Row(pedidos='07089f306713afa35b6541fa51e87198', data=datetime.date(2018, 11, 23)), Row(pedidos='b0b219b15cca20027622de7d210f632f', data=datetime.date(2018, 11, 23)), Row(pedidos='8420964c04d564e625d051c2f8862565', data=datetime.date(2018, 11, 23))]"
d221905b7af7b56c0b202544d60d08a4,4,27,"[Row(pedidos='82c2a7a825ac0401d8ca18f58bc76a08', data=datetime.date(2018, 11, 23)), Row(pedidos='a0cd825d3d69a19db8d644fe91d29dc3', data=datetime.date(2018, 11, 23)), Row(pedidos='5bd8524dac7e62b57412a0c28bbe4cfc', data=datetime.date(2018, 11, 23)), Row(pedidos='6b139d0dc998515629dad0a26addcd14', data=datetime.date(2018, 11, 8))]"
4112bda78775666500367aff2ae2c866,3,23,"[Row(pedidos='08d28852abb06109ab53648ed41411bc', data=datetime.date(2018, 11, 23)), Row(pedidos='ebc3616ec4584ba4d66c85a6b4d2b1e6', data=datetime.date(2018, 11, 23)), Row(pedidos='76c9b99f16e98b70433fd9f5acfe9630', data=datetime.date(2018, 11, 23))]"
047f50ac99e51749f55bc20e94b5a0e0,3,25,"[Row(pedidos='89419f4a8b4d9938a1ec0137b0770155', data=datetime.date(2017, 11, 24)), Row(pedidos='771c2494418c023e6ab3d2db396428b9', data=datetime.date(2017, 11, 24)), Row(pedidos='c7a1196759203ea33fa72c4a9c606802', data=datetime.date(2017, 11, 24))]"
70a35a3d4743b95030c75089eea45dd7,3,23,"[Row(pedidos='88bebb01617d7950ac1777f8ecb0f8a1', data=datetime.date(2018, 11, 23)), Row(pedidos='81ca72a9af13fa7b5620081694c62ac0', data=datetime.date(2018, 11, 23)), Row(pedidos='40d50ecd23109b800e6d4a0524bfca3c', data=datetime.date(2018, 11, 23))]"
22275184edd41a8a91ec38d98479ff10,3,25,"[Row(pedidos='44328873b8656556e13d1dcffbaead08', data=datetime.date(2018, 11, 23)), Row(pedidos='18d825f3c2211953aa4fa0d6d7b3a8ab', data=datetime.date(2018, 11, 23)), Row(pedidos='b422a85e4ac2f418313f5a6777171595', data=datetime.date(2018, 11, 23))]"
3224ac7dee3bd6196c82dbcf3c58e019,3,19,"[Row(pedidos='110fdb292cc6b2cc185578492b12558c', data=datetime.date(2018, 11, 23)), Row(pedidos='b0ec0e67b4092ffc2de13561c47074be', data=datetime.date(2018, 11, 23)), Row(pedidos='715fd96b0daffb567c062f6a4c769345', data=datetime.date(2018, 11, 23))]"
a61b2a2669b043efb8ccaba3a7cc1ff9,3,23,"[Row(pedidos='4a499631d7360c3a0f0b9ded1c8bd3dc', data=datetime.date(2017, 11, 24)), Row(pedidos='95e6f30d8f69df7d45477b02111e0701', data=datetime.date(2017, 11, 24)), Row(pedidos='00657c0cd2f877722e9bc4bf7e149b08', data=datetime.date(2017, 11, 24))]"
e357a3944a07df38fc32f683e825d7a4,3,26,"[Row(pedidos='9ebfc7efabf4d41f181abff3c70bc985', data=datetime.date(2017, 11, 24)), Row(pedidos='a9db298bf5d50d627329f4819d38fecd', data=datetime.date(2018, 11, 23)), Row(pedidos='5ab3679cf17d054fd97d691709859ef0', data=datetime.date(2018, 11, 23))]"
77547c27288c4114e461d1b53584f1f7,3,28,"[Row(pedidos='adbdd9fb05ecd13ee9ac6eb401fe39c5', data=datetime.date(2017, 11, 24)), Row(pedidos='e22855ffd49db463e16604d143fff1d7', data=datetime.date(2017, 11, 24)), Row(pedidos='2d5f7fddca76f647987d57d3046d20ef', data=datetime.date(2017, 11, 24))]"
